bank,proxy_year,director_name,director_age
JPMorgan Chase,2025,in control,70
JPMorgan Chase,2025,executive officers,76
JPMorgan Chase,2025,accounting firm,79
JPMorgan Chase,2025,held approximately,48
JPMorgan Chase,2025,firm page,78
JPMorgan Chase,2025,Tenure Age,66
JPMorgan Chase,2025,age from,72
JPMorgan Chase,2025,director attended,75
JPMorgan Chase,2025,Independent Director,41
JPMorgan Chase,2025,represented approximately,52
JPMorgan Chase,2025,chair retainer,51
JPMorgan Chase,2025,Proxy Statement,75
JPMorgan Chase,2025,Mark A. Weinberger,50
JPMorgan Chase,2025,more than,90
JPMorgan Chase,2025,in the,40
JPMorgan Chase,2025,within the,40
JPMorgan Chase,2025,Advisory resolution,38
JPMorgan Chase,2025,Ratification of,78
JPMorgan Chase,2025,Industries Risk,66
JPMorgan Chase,2025,Compensation discussion,39
JPMorgan Chase,2025,more information,46
JPMorgan Chase,2025,Security ownership,76
JPMorgan Chase,2025,pledging provisions,50
JPMorgan Chase,2025,Refer to,57
JPMorgan Chase,2025,information on,52
JPMorgan Chase,2025,historically granted,52
JPMorgan Chase,2025,reviewed through,51
JPMorgan Chase,2025,development of,39
JPMorgan Chase,2025,is reported,64
JPMorgan Chase,2025,NEO annual,57
JPMorgan Chase,2025,however reflected,57
JPMorgan Chase,2025,deferred compensation,68
JPMorgan Chase,2025,Table VI,69
JPMorgan Chase,2025,column of,64
JPMorgan Chase,2025,For more,79
JPMorgan Chase,2025,Audit Committee,80
JPMorgan Chase,2025,approval policy,80
Bank of America,2025,is Sustainable,38
Bank of America,2025,beneficial owners,42
Bank of America,2025,in control,75
Bank of America,2025,Sharon Allen,73
Bank of America,2025,Joe Almeida,62
Bank of America,2025,de Weck,74
Bank of America,2025,Arnold Donald,70
Bank of America,2025,Monica Lozano,68
Bank of America,2025,Lionel Nowell,70
Bank of America,2025,Michael White,73
Bank of America,2025,Thomas Woods,72
Bank of America,2025,the Phillips,66
Bank of America,2025,would be,75
Bank of America,2025,age of,75
Bank of America,2025,of Fortune,50
Bank of America,2025,on page,41
Bank of America,2025,representing approximately,46
Bank of America,2025,Proxy Statement,41
Bank of America,2025,Matthew M. Koder,79
Bank of America,2025,restricted stock,44
Bank of America,2025,Corporate Governance,75
Bank of America,2025,the nomination,75
Bank of America,2025,Related person,41
Bank of America,2025,Shareholder engagement,36
Bank of America,2025,additional information,64
Bank of America,2025,Hedging policy,35
Bank of America,2025,time equity,49
Bank of America,2025,robust and,51
Bank of America,2025,performance factors,55
Bank of America,2025,Committee uses,53
Bank of America,2025,management companies,64
Bank of America,2025,multiple years,58
Bank of America,2025,further drive,59
Bank of America,2025,Executive summary,55
Bank of America,2025,Performance evaluation,51
Bank of America,2025,performance and,55
Bank of America,2025,Executive compensation,59
Bank of America,2025,step performance,51
Bank of America,2025,compensation can,55
Bank of America,2025,individual performance,53
Bank of America,2025,above differs,66
Bank of America,2025,the information,78
Bank of America,2025,Executive pay,59
Bank of America,2025,Results for,63
Bank of America,2025,See the,35
Bank of America,2025,terms following,71
Bank of America,2025,Compensation discussion,47
Bank of America,2025,Nonqualified deferred,74
Bank of America,2025,Pension benefits,73
Bank of America,2025,in adjusted,69
Bank of America,2025,see footnote,66
Bank of America,2025,have at,50
Bank of America,2025,or must,60
Bank of America,2025,discussed in,63
Bank of America,2025,for awards,68
Bank of America,2025,described in,66
Bank of America,2025,great place,39
Bank of America,2025,Review our,47
Bank of America,2025,in the,80
Bank of America,2025,Individual performance,55
Bank of America,2025,detail in,88
Bank of America,2025,competitor group,64
Bank of America,2025,by meeting,60
Bank of America,2025,our compensation,62
Bank of America,2025,friendly design,82
Bank of America,2025,Director compensation,44
Bank of America,2025,shareholder engagement,36
Bank of America,2025,program described,36
Citigroup,2025,Financial Professionals,40
Citigroup,2025,Ownership Table,42
Citigroup,2025,and Employees,43
Citigroup,2025,The Nominees,49
Citigroup,2025,Duncan P. Hennes,68
Citigroup,2025,Gary M. Reiner,70
Citigroup,2025,Diana L. Taylor,70
Citigroup,2025,James S. Turley,69
Citigroup,2025,at least,75
Citigroup,2025,Corporate Governance,37
Citigroup,2025,of Contents,42
Citigroup,2025,on page,63
Citigroup,2025,OF DIRECTORS,63
Citigroup,2025,Accounting Firm,67
Citigroup,2025,officers named,68
Citigroup,2025,tenure on,70
Citigroup,2025,Performance Share,88
Citigroup,2025,Committee also,36
Citigroup,2025,Owners of,43
Citigroup,2025,the year,72
Citigroup,2025,Please see,63
Citigroup,2025,Named Executive,69
Citigroup,2025,NEO Compensation,71
Citigroup,2025,"Our
                                            Compensation",73
Citigroup,2025,Citi Performance,74
Citigroup,2025,"Financial
                                            Pillar",74
Citigroup,2025,"Risk
                                            and",75
Citigroup,2025,"Leadership
                                            Pillar",77
Citigroup,2025,"Client
                                            and",78
Citigroup,2025,NEO Performance,80
Citigroup,2025,"Components
                                            of",85
Citigroup,2025,"Elements
                                            of",85
Citigroup,2025,"Performance
                                            Share",86
Citigroup,2025,"Deferred
                                            Stock",88
Citigroup,2025,"Transformation
                                            Bonus",89
Citigroup,2025,LEADERSHIP AND,70
Citigroup,2025,OTHER CONSIDERATIONS,88
Citigroup,2025,the Transformation,90
Citigroup,2025,OUR LEADERSHIP,70
Citigroup,2025,billion Citigroup,76
Citigroup,2025,bps Markets,67
Citigroup,2025,detailed information,88
Citigroup,2025,These are,88
Citigroup,2025,set forth,73
Citigroup,2025,to accomplish,71
Wells Fargo,2024,FOR page,53
Wells Fargo,2024,and Responsibilities,45
Wells Fargo,2024,Compensation Tables,86
Wells Fargo,2024,Financial Reporting,54
Wells Fargo,2024,Total contacted,54
Wells Fargo,2024,management experience,50
Wells Fargo,2024,ethnically diverse,50
Wells Fargo,2024,Diversity Highlights,54
