bank,fiscal_year,country,is_gsib,is_usa,total_assets,net_income,total_equity,roa,roe,ln_assets,D_genai,ai_mentions,ceo_age,ceo_tenure,source
HSBC,2018,UK,1,0,,,,,,,0,,,,annual_report
HSBC,2019,UK,1,0,,,,,,,0,,,,annual_report
HSBC,2020,UK,1,0,,,,,,,0,,,,annual_report
HSBC,2021,UK,1,0,,,,,,,0,,,,annual_report
HSBC,2022,UK,1,0,,,,,,,0,,,,annual_report
HSBC,2023,UK,1,0,,,,,,,1,,,,annual_report
HSBC,2024,UK,1,0,,,,,,,1,,,,annual_report
Barclays,2018,UK,1,0,,,,,,,0,,,,annual_report
Barclays,2019,UK,1,0,,,,,,,0,,,,annual_report
Barclays,2020,UK,1,0,,,,,,,0,,,,annual_report
Barclays,2021,UK,1,0,,,,,,,0,,,,annual_report
Barclays,2022,UK,1,0,,,,,,,0,,,,annual_report
Barclays,2023,UK,1,0,,,,,,,1,,,,annual_report
Barclays,2024,UK,1,0,,,,,,,1,,,,annual_report
Lloyds,2018,UK,0,0,,,,,,,0,,,,annual_report
Lloyds,2019,UK,0,0,,,,,,,0,,,,annual_report
Lloyds,2020,UK,0,0,,,,,,,0,,,,annual_report
Lloyds,2021,UK,0,0,,,,,,,0,,,,annual_report
Lloyds,2022,UK,0,0,,,,,,,0,,,,annual_report
Lloyds,2023,UK,0,0,,,,,,,1,,,,annual_report
Lloyds,2024,UK,0,0,,,,,,,1,,,,annual_report
NatWest,2018,UK,0,0,,,,,,,0,,,,annual_report
NatWest,2019,UK,0,0,,,,,,,0,,,,annual_report
NatWest,2020,UK,0,0,,,,,,,0,,,,annual_report
NatWest,2021,UK,0,0,,,,,,,0,,,,annual_report
NatWest,2022,UK,0,0,,,,,,,0,,,,annual_report
NatWest,2023,UK,0,0,,,,,,,1,,,,annual_report
NatWest,2024,UK,0,0,,,,,,,1,,,,annual_report
StanChart,2018,UK,0,0,,,,,,,0,,,,annual_report
StanChart,2019,UK,0,0,,,,,,,0,,,,annual_report
StanChart,2020,UK,0,0,,,,,,,0,,,,annual_report
StanChart,2021,UK,0,0,,,,,,,0,,,,annual_report
StanChart,2022,UK,0,0,,,,,,,0,,,,annual_report
StanChart,2023,UK,0,0,,,,,,,1,,,,annual_report
StanChart,2024,UK,0,0,,,,,,,1,,,,annual_report
DeutscheBank,2018,Germany,1,0,,,,,,,0,,,,annual_report
DeutscheBank,2019,Germany,1,0,,,,,,,0,,,,annual_report
DeutscheBank,2020,Germany,1,0,,,,,,,0,,,,annual_report
DeutscheBank,2021,Germany,1,0,,,,,,,0,,,,annual_report
DeutscheBank,2022,Germany,1,0,,,,,,,0,,,,annual_report
DeutscheBank,2023,Germany,1,0,,,,,,,1,,,,annual_report
DeutscheBank,2024,Germany,1,0,,,,,,,1,,,,annual_report
Commerzbank,2018,Germany,0,0,,,,,,,0,,,,annual_report
Commerzbank,2019,Germany,0,0,,,,,,,0,,,,annual_report
Commerzbank,2020,Germany,0,0,,,,,,,0,,,,annual_report
Commerzbank,2021,Germany,0,0,,,,,,,0,,,,annual_report
Commerzbank,2022,Germany,0,0,,,,,,,0,,,,annual_report
Commerzbank,2023,Germany,0,0,,,,,,,1,,,,annual_report
Commerzbank,2024,Germany,0,0,,,,,,,1,,,,annual_report
BNP,2018,France,1,0,,,,,,,0,,,,annual_report
BNP,2019,France,1,0,,,,,,,0,,,,annual_report
BNP,2020,France,1,0,,,,,,,0,,,,annual_report
BNP,2021,France,1,0,,,,,,,0,,,,annual_report
BNP,2022,France,1,0,,,,,,,0,,,,annual_report
BNP,2023,France,1,0,,,,,,,1,,,,annual_report
BNP,2024,France,1,0,,,,,,,1,,,,annual_report
SocGen,2018,France,1,0,,,,,,,0,,,,annual_report
SocGen,2019,France,1,0,,,,,,,0,,,,annual_report
