bank,fiscal_year,sic_code,D_genai,D_ai,genai_intensity,ai_intensity,ln_Y_revenue,ln_Y_nii,ln_L,ln_K,tier1_ratio,ln_assets
BOK Financial,2018,6021,0,0,0.0,0.0,,,,,,
BOK Financial,2019,6021,0,0,0.0,0.0,,,,,,
BOK Financial,2020,6021,0,0,0.0,0.0,,,,,,
BOK Financial,2021,6021,0,0,0.0,0.0,,,,,,
BOK Financial,2022,6021,0,0,0.0,0.0,,,,,,
BOK Financial,2023,6021,0,0,0.0,0.0,,,,,,
BOK Financial,2024,6021,0,0,0.0,0.0,,,,,,
Bank of America,2018,6021,0,0,0.0,0.0,,,,,,
Bank of America,2019,6021,0,0,0.0,0.0,11.421292515858228,10.796407298087043,12.245293358683455,14.70507900886403,11.5,14.70507900886403
Bank of America,2020,6021,0,0,0.0,0.0,11.356599086693336,10.677292636113528,12.269047444691562,14.852115164662369,11.9,14.852115164662369
Bank of America,2021,6021,0,0,0.0,0.0,11.39766050629526,10.67111584990838,12.246484956141435,14.969082827169224,11.6,14.969082827169224
Bank of America,2022,6021,0,0,0.0,0.0,11.461105716240432,10.867844376979322,12.28683663148152,14.931102866667068,11.2,14.931102866667068
Bank of America,2023,6021,0,1,0.0,0.13337779259753252,11.498633824253364,10.949595287222088,12.267882447096486,14.972439237905746,11.8,14.972439237905746
Bank of America,2024,6021,0,1,0.0,0.13569349553229165,11.512925464970229,10.968198289528557,12.254862809699606,14.994165554305921,12.0,14.994165554305921
Bank of New York Mellon,2018,6022,0,0,0.0,0.0,,,,,,
Bank of New York Mellon,2019,6022,0,0,0.0,0.0,,,,,,
Bank of New York Mellon,2020,6022,0,0,0.0,0.0,,,,,,
Bank of New York Mellon,2021,6022,0,0,0.0,0.0,,,,,,
Bank of New York Mellon,2022,6022,0,0,0.0,0.0,,,,,,
Bank of New York Mellon,2023,6022,0,0,0.0,0.0,,,,,,
Bank of New York Mellon,2024,6022,0,0,0.0,0.0,,,,,,
Capital One,2018,6021,0,0,0.0,0.0,,,,,,
Capital One,2019,6021,0,0,0.0,0.0,10.262908722142885,10.060662226908127,10.85707406915398,12.874837477862782,12.0,12.874837477862782
Capital One,2020,6021,0,0,0.0,0.0,10.259307130753884,9.962463757636426,10.869215858012614,12.951817020031054,13.7,12.951817020031054
Capital One,2021,6021,0,0,0.0,0.0,10.32331568348006,10.047847603042964,10.831884705071992,12.977090175901997,13.1,12.977090175901997
Capital One,2022,6021,0,0,0.0,0.0,10.429546556942707,10.206846104372916,10.868568448579715,13.017509400100952,12.6,13.017509400100952
Capital One,2023,6021,0,0,0.0,0.0,10.513008529028681,10.2553760597409,10.87804719253426,13.078415669594728,13.1,13.078415669594728
Capital One,2024,6021,0,0,0.0,0.0,10.545341438708522,10.275051108968611,10.896739325546411,13.102160670086809,13.3,13.102160670086809
Charles Schwab,2018,6211,0,0,0.0,0.0,,,,,,
Charles Schwab,2019,6211,0,0,0.0,0.0,,,,,,
Charles Schwab,2020,6211,0,0,0.0,0.0,,,,,,
Charles Schwab,2021,6211,0,0,0.0,0.0,,,,,,
Charles Schwab,2022,6211,0,0,0.0,0.0,,,,,,
Charles Schwab,2023,6211,0,0,0.0,0.0,,,,,,
Charles Schwab,2024,6211,0,0,0.0,0.0,,,,,,
Citigroup,2018,6021,0,0,0.0,0.0,,,,,,
Citigroup,2019,6021,0,0,0.0,0.0,11.215677787648746,10.737808721543033,12.225875272826354,14.483933600436925,11.9,14.483933600436925
Citigroup,2020,6021,0,1,0.0,0.04948510745691084,11.215839312443153,10.628133400155445,12.254862809699606,14.630915193464404,11.8,14.630915193464404
Citigroup,2021,6021,0,0,0.0,0.0,11.182808987651912,10.622594834765605,12.314927050442256,14.644679215813017,12.3,14.644679215813017
Citigroup,2022,6021,0,0,0.0,0.0,11.229739934570338,10.734394672800558,12.388394202324129,14.697903600224256,13.0,14.697903600224256
Citigroup,2023,6021,0,1,0.0,0.19191371559346918,11.270560867208907,10.77630695015341,12.384218830913648,14.695898011906936,13.6,14.695898011906936
Citigroup,2024,6021,1,1,0.1912073308890663,0.23900916361133287,11.289781913656018,10.789319076925574,12.367340793126296,14.71159858252091,13.8,14.71159858252091
Columbia Banking System,2018,6021,0,0,0.0,0.0,,,,,,
Columbia Banking System,2019,6021,0,0,0.0,0.0,,,,,,
Columbia Banking System,2020,6021,0,0,0.0,0.0,,,,,,
Columbia Banking System,2021,6021,0,0,0.0,0.0,,,,,,
Columbia Banking System,2022,6021,0,0,0.0,0.0,,,,,,
Columbia Banking System,2023,6021,0,0,0.0,0.0,,,,,,
Columbia Banking System,2024,6021,0,0,0.0,0.0,,,,,,
Comerica,2018,6021,0,0,0.0,0.0,,,,,,
Comerica,2019,6021,0,0,0.0,0.0,,,,,,
Comerica,2020,6021,0,0,0.0,0.0,,,,,,
Comerica,2021,6021,0,0,0.0,0.0,,,,,,
Comerica,2022,6021,0,0,0.0,0.0,,,,,,
Comerica,2023,6021,0,0,0.0,0.0,,,,,,
Comerica,2024,6021,0,0,0.0,0.0,,,,,,
Cullen Frost Bankers,2018,6021,0,0,0.0,0.0,,,,,,
Cullen Frost Bankers,2019,6021,0,0,0.0,0.0,,,,,,
Cullen Frost Bankers,2020,6021,0,0,0.0,0.0,,,,,,
Cullen Frost Bankers,2021,6021,0,0,0.0,0.0,,,,,,
Cullen Frost Bankers,2022,6021,0,0,0.0,0.0,,,,,,
Cullen Frost Bankers,2023,6021,0,0,0.0,0.0,,,,,,
Cullen Frost Bankers,2024,6021,0,0,0.0,0.0,,,,,,
East West Bancorp,2018,6021,0,0,0.0,0.0,,,,,,
East West Bancorp,2019,6021,0,0,0.0,0.0,,,,,,
East West Bancorp,2020,6021,0,0,0.0,0.0,,,,,,
East West Bancorp,2021,6021,0,0,0.0,0.0,,,,,,
East West Bancorp,2022,6021,0,0,0.0,0.0,,,,,,
East West Bancorp,2023,6021,0,0,0.0,0.0,,,,,,
East West Bancorp,2024,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2018,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2019,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2020,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2021,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2022,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2023,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2024,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2018,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2019,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2020,6021,0,0,0.0,0.0,,,,,,
